Date,Status,Selfie URL,Latitude,Longitude
2025-05-06,present,https://ik.imagekit.io/travelling/selfie-6818beaa419c83b786066c39-1746474586373_J5CKu1kwe,18.5335808,73.7804288
2025-05-07,present,https://ik.imagekit.io/travelling/selfie-6818beaa419c83b786066c39-1746569509769_GqWnYX-vN,17.6652288,75.9136256
